S01A,S01B,S01C,S01D,S02A,S02B,S02C,S02D,S03A,S03B,S03C,S03D,S04A,S04B,S04C,S04D,S05B,S05C,S05D,S06A,S06B,S06C,S06D,S07A,S07B,S07C,S07D,S08A,S08B,S08C,S08D,S09A,S09B,S09C,S09D,S10A,S10B,S10C,S11A,S11B,S11C,S11D,S12A,S12B,S12C,S12D,S13A,S13B,S13C,S13D,S14B,S14C,S14D,S15A,S15B,S15C,S15D,S16A,S16B,S16C,S16D,S17A,S17B,S17C,S17D,S18A,S18B,S18C,S18D,S19A,S19B,S19C,S19D,S20A,S20B,S20C,S20D,S21A,S21B,S21C,S21D
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,1,3,3,1,0,0,1,2,0,0,1,0,1,1,0,1,4,0,1,1,2,0,0,0,1,1,1,1,3,5,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,2,7,1,0,1,2,8,0,1,4,0,0,3,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0
0,1,3,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,2,0,0,1,0,0,0,2,2,1,0,0,0,0,2,0,2,0,4,0,0,0,3,0,1,1,1,0,1,3,1,1,0,1,0,0,3,0,2,2,0,0,1,0,0,2,1,1,0,2,0,3,2,5,3,3,1,0,0
0,0,2,2,0,0,0,0,0,0,0,0,4,7,4,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,1,0,0,0,2,2,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,2,0,2,6,9,6,0,2,1,10,3,4,3,4,3
8,2,10,6,21,12,10,4,4,1,1,4,6,7,7,4,1,5,0,5,9,6,7,6,1,1,5,1,6,0,4,8,0,1,3,6,3,4,3,3,0,2,2,2,1,2,1,1,3,0,13,10,5,6,5,10,5,6,4,12,4,14,5,8,6,0,6,6,12,1,7,14,7,4,16,13,7,6,8,8,5
1,1,0,0,1,0,2,1,0,3,3,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,6,2,7,4,0,3,0,0,0,2,2,1,1,1,1,0,0,0,0,0,1,2,3
0,0,1,0,0,1,0,1,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,5,0,0,1,2
0,0,5,6,1,2,3,3,1,0,0,0,6,4,8,6,0,2,1,0,5,0,0,0,2,8,2,0,1,4,0,7,3,1,6,5,4,1,0,2,5,2,3,1,3,3,5,3,1,3,3,3,0,6,1,5,2,0,2,0,2,10,0,3,6,3,6,5,2,5,2,14,7,7,3,5,15,1,2,4,3
0,3,3,1,3,10,8,8,2,1,2,3,2,1,9,3,0,3,1,2,1,4,0,2,1,1,2,2,3,2,7,2,0,0,3,1,1,1,1,4,1,3,1,0,2,0,0,0,3,0,0,0,0,0,2,0,1,0,3,1,2,0,0,2,0,1,1,1,0,3,2,2,3,0,0,2,2,0,0,0,0
5,5,10,9,9,9,28,21,9,7,5,1,11,9,6,7,8,14,5,12,4,4,4,2,1,3,0,1,0,7,2,18,6,12,18,2,2,5,2,0,6,2,0,0,0,0,0,1,0,0,1,4,1,5,5,8,7,1,12,13,19,16,2,0,0,7,2,5,18,8,6,6,7,4,0,3,9,3,5,7,2
16,20,4,0,52,41,16,17,41,36,27,47,0,0,0,0,21,7,10,9,0,8,23,31,10,12,7,20,26,15,21,4,28,27,26,1,0,9,15,0,2,0,2,0,1,2,1,3,9,3,98,68,59,3,30,0,0,36,32,36,59,1,30,11,24,25,3,6,3,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,3,3,0,0,0,0,0,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,7,3,22,7,10,4,6,4,15,1,5,10,3,4,5,6,4,6,5,6,9,1,5,5,3,13,17,5,2,17,10,8,13,2,2,4,0,2,0,3,0,1,0,2,6,8,4,2,4,15,8,10,31,34,14,3,23,20,24,7,11,5,5,7,4,9,17,9,3,12,7,1,4,3,3,2,4,4,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,0,0,0,0
5,10,0,0,2,3,0,0,3,0,2,0,0,0,3,1,0,2,2,2,0,4,0,5,4,4,4,3,2,0,0,8,3,7,1,0,1,4,1,2,2,0,11,7,2,3,0,1,0,0,6,4,4,2,3,1,0,6,14,7,3,1,1,12,5,3,3,2,0,4,0,2,0,0,0,1,1,4,7,1,0
14,21,4,2,8,1,1,0,1,2,0,0,0,1,0,0,2,2,0,5,1,4,1,0,1,1,0,1,9,2,0,5,7,16,8,1,0,1,8,0,1,0,0,1,3,0,0,0,0,0,16,8,1,5,10,0,3,6,8,16,6,2,4,3,4,7,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1
0,0,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,3,2,0,5,1,1,0,0,2,1,2,0,2,2,0,0,0,0,11,5,4,2,1,4,0,0,1,2,0,1,1,1,1,2,1,2,1,0,0,0,0,3,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,2,2,3,4,4,10,5,6,7,0,0,0,3,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,1,7,2,5,0,0,1,0
3,1,4,1,2,6,5,3,6,0,1,1,0,3,2,2,1,4,2,0,4,6,1,1,0,0,0,1,1,1,0,4,5,16,3,2,0,0,10,2,10,4,0,0,1,0,0,0,0,0,0,1,0,9,10,9,0,0,14,23,15,9,1,0,1,2,0,7,3,3,0,3,0,2,11,9,5,0,1,0,0
0,1,0,0,2,3,1,0,0,0,2,0,0,2,2,2,0,0,1,2,0,1,1,0,0,0,0,2,0,1,3,2,2,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,3,4,5,2,0,1,0,0,0,0,3,0,2,2,1,3,0,2,5,3,1,0,1
0,0,3,0,0,3,0,5,3,0,0,0,12,8,14,8,4,1,12,0,3,0,2,12,13,14,7,2,2,7,4,10,7,7,3,25,7,30,0,1,3,1,1,1,1,2,4,11,11,3,12,16,3,17,2,34,18,3,2,3,2,6,2,3,7,12,12,15,14,3,9,11,5,19,9,28,9,0,0,6,4
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,3,2,6,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,0,2,0,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,3,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,1,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,1,5,0,0,0,0
0,0,4,4,1,9,0,0,0,0,1,0,10,11,12,10,1,1,1,0,1,1,0,0,1,0,1,2,0,4,2,4,0,2,2,0,0,0,0,1,0,3,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,2,5,1,1,1,1,0,0,0,11,2,2,2,5,1,2,3,8,6,7,2,7,9,3
4,8,2,1,2,0,2,0,1,0,1,0,0,1,2,1,0,2,0,1,0,1,2,0,0,0,1,0,0,0,1,3,0,1,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,4,0,0,6,0,0,0,0,0,1,0,0,0,1,0,1
2,4,3,3,5,14,4,4,6,3,10,12,4,11,4,7,1,6,9,3,0,4,3,14,6,8,0,19,23,22,14,30,23,14,16,9,3,4,7,3,3,6,2,4,2,4,4,7,18,10,34,33,28,15,12,8,7,18,16,13,8,18,40,38,53,9,10,11,12,6,8,8,2,5,3,3,6,2,4,4,3
12,9,15,21,7,27,26,33,36,7,27,36,12,26,12,9,9,11,20,9,5,3,8,80,58,94,15,36,65,40,45,35,18,25,30,71,45,73,31,10,32,21,7,4,6,11,31,10,25,32,91,62,67,20,41,8,4,47,38,25,51,35,35,54,57,7,18,28,16,37,12,33,6,30,11,14,21,8,25,26,15
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,2,2,6,5,1,0,0,0,1,1,4,0,1,2,1,2,2,7,7,2,2,6,5,0,1,0,0,1,0,0,2,1,0,0,5,0,0,1,0,2,1,8,3,0,2,0,0,8,2,3,1,0,0,2
0,1,8,3,1,3,6,7,5,3,4,1,5,4,3,5,2,5,0,0,5,2,1,1,0,2,3,1,0,0,0,0,0,0,0,1,0,1,12,6,4,4,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,3,5,0,0,0,7,7,9,3,1,1,2,0,2,0,1,3,1,2,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,6,14,14,6,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
2,1,1,0,8,6,4,8,6,1,1,17,0,0,1,1,0,2,17,0,1,0,1,16,10,8,12,39,27,57,88,0,2,11,48,9,3,2,4,4,1,2,1,9,20,42,43,44,60,45,30,32,40,0,1,0,0,10,3,9,7,0,3,27,47,3,9,11,16,0,0,0,0,3,7,4,14,1,0,0,0
0,0,0,0,0,4,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,3,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,5,0,1,1,0
0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,4,1,1,0,0,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,9,0,2,1,0,0,0,4,2,4,0,5,1,2,0
0,0,2,4,1,1,0,0,0,0,0,0,3,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,2,3,2,2,1,1,3,1,1,0,3,5,1
0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,3,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
17,0,15,2,23,6,4,0,2,2,4,12,0,5,8,11,5,3,2,2,0,3,0,0,1,2,4,11,3,10,26,3,19,28,25,0,0,0,3,0,0,0,0,0,0,0,1,1,0,4,9,34,17,1,14,5,4,5,26,53,42,15,3,3,4,5,2,1,8,3,2,5,7,1,3,2,1,2,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,2,7,1,2,1,0,2,0,0,1,0,0,0,0
0,2,2,1,4,0,4,0,0,2,0,1,2,2,2,3,0,1,0,0,0,1,3,0,0,2,8,0,1,1,0,6,0,0,6,7,0,2,10,1,1,1,1,0,2,0,0,0,0,0,3,0,0,0,0,1,4,0,2,0,1,0,1,0,3,5,8,4,6,2,2,0,1,1,2,1,1,0,1,0,2
0,0,4,5,0,1,0,0,0,0,0,0,3,14,14,8,2,0,1,0,1,0,0,2,5,0,0,0,0,1,0,5,3,2,3,1,5,2,0,1,0,3,2,4,11,10,3,2,5,4,0,0,0,4,0,6,4,4,0,0,0,8,1,0,1,1,6,1,3,8,10,11,12,5,3,7,11,2,5,8,6
0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,1,1,1,4,1,4,0,1,1,0,2,0,3,0,0,0,0,2,4,0,0,0,0,1,3,0,1,2,1,6,0,1,1,4,2,0,1,0
0,0,0,5,0,0,0,0,0,0,0,0,3,8,5,10,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,10,16,15,0,6,5,0,0,1,6,0,3,1,2,0,0,0,0,7,0,27,6,0,0,0,0,0,0,1,1,0,3,7,5,5,2,4,4,5,4,13,4,7,12,12,8
0,0,2,1,0,5,6,1,1,0,1,0,1,4,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,10,19,20,1,4,3,4,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,0,1,0,0,3,0,0,0,0,3,7,8,1,3,5,0,8,4,8,5,4,8,2,5
1,1,4,2,1,3,2,1,2,3,2,4,0,0,0,0,0,1,5,0,0,3,0,3,2,2,1,1,0,0,0,2,1,4,3,1,4,3,1,0,5,1,2,2,6,4,7,1,5,1,0,0,0,1,5,3,5,2,3,0,2,0,4,1,0,11,1,7,8,0,0,0,1,0,1,0,2,0,0,1,0
0,0,0,1,0,0,1,2,0,2,0,1,0,1,3,1,1,2,0,0,0,1,0,0,2,0,2,0,0,0,0,1,1,0,1,3,2,2,0,1,2,1,3,1,5,2,5,6,0,2,0,0,0,3,0,4,0,2,0,0,0,1,0,0,0,2,2,5,1,2,1,0,2,1,5,4,1,1,1,3,5
0,0,3,0,0,0,2,1,1,0,0,0,0,2,3,3,2,1,0,0,0,0,1,1,0,2,0,0,1,1,0,1,1,0,0,0,3,3,0,5,3,1,0,1,0,0,0,0,0,0,1,3,3,1,0,7,1,2,2,1,0,2,0,0,0,3,2,2,5,3,1,3,0,3,3,2,0,0,1,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
1,1,1,2,0,1,2,5,1,0,1,4,1,0,1,4,1,2,1,0,1,1,2,0,3,2,2,0,1,2,1,1,0,1,1,7,6,10,0,2,8,3,0,2,2,2,1,0,1,1,0,2,4,2,2,3,3,1,2,0,1,0,2,4,1,2,4,6,7,2,4,3,0,2,5,7,3,1,3,4,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,0,2,0,2,0,1,1,1,0,0,0,0,0,0,0,2,1,5,2,1,0,0,0,1,0,0,0,1,1,1,0,2,0,1,0,1,1,0,0,0,1,1,0
9,13,11,3,1,11,13,4,1,20,27,1,4,5,10,2,0,6,0,3,0,2,0,3,2,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,7,2,4,0,1,0,0,1,2,4,0,0,3,0,0,0,1,3,2,8,0,0,0,0,0,0,0,0,1,2,0,0,10,13,1,0,0,0,0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,8,2,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,5,9,6,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,8,0,5,4,3,6,3,6,2,7,9,8,6,0,5,0,5,0,2,5,2,0,0,1,0,0,2,4,5,5,1,3,0,0,6,3,3,0,0,0,0,0,0,1,0,0,0,3,4,1,1,5,1,3,3,2,1,1,6,1,2,3,1,0,1,4,3,5,5,0,0,4,9,5,0,4,3,7
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,1,0,4,1,0,1,5,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,1,2,0,1,1,0,0,0,2,1,4,3,1,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0
1,9,11,2,14,9,15,7,7,14,9,1,5,10,1,0,7,9,0,9,8,19,4,0,1,5,0,0,1,2,0,1,7,1,1,13,4,10,4,4,3,0,4,3,10,0,8,10,9,0,2,6,0,4,2,6,0,3,7,6,1,7,1,1,0,6,12,6,1,9,5,5,0,7,7,15,0,6,2,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,5,0,0,0,0,1,2,1,0,0,0,0,4,2,1,7,10,8,7,12,0,1,8,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,3,4,6,9,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,6,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,11,26,21,2,2,0,1,3,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,2,3,6,2,5,5,0,0,0,0,0,0,1,3,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,1,17,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,3,2,4,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,3,5,0,0,0,0,4,1,0,5,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
7,4,14,27,19,37,21,14,14,11,26,12,3,3,3,1,6,23,22,15,11,25,44,5,3,6,3,2,8,2,10,15,16,17,9,13,10,13,9,10,20,6,4,8,9,1,0,0,0,0,2,1,1,11,5,7,3,4,17,7,5,18,5,2,0,18,3,11,8,8,9,2,3,5,5,5,5,4,7,11,10
3,5,0,0,4,3,0,2,3,1,4,2,0,0,0,0,2,0,3,0,0,0,1,3,2,6,9,2,5,3,5,0,0,1,0,0,0,0,2,0,0,0,0,5,9,0,0,0,0,0,4,0,8,0,3,0,0,7,4,3,6,0,3,8,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,2,1,1,1,0,1,2,0,0,0,3,0,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,6,21,15,11,0,0,0,0,0,1,0,0,2,3,1,1,3,13,1,1,0,3,2,0,0,0,0,3,0,0,6,32,25,15,0,6,2,1,0,0,0,0,0,0,0,4,2,0,0,1,1,1,0,2,7,3,0,0,0,3,0,5,2,4,2,1,4,0,0
0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,1,1,0,0,0,0,0,0,4,0,0,0,3,6,1,3,0,0,0,1,1,0,1,0,1,3,0,1,0,1,7,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,2,2,0,3,0,0,0,0,4,0,0,0,1,0
2,4,3,1,6,3,7,3,7,3,4,1,0,0,1,0,0,1,0,0,2,2,2,14,2,2,8,1,6,6,2,5,3,6,5,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,9,5,10,1,2,2,1,3,4,4,14,0,5,1,5,1,0,1,2,0,1,0,1,0,3,2,1,1,0,1,0
0,0,2,1,0,0,0,0,0,0,0,0,2,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,0,0,1,0,1,0,3,0
0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3,1,4,1,3,1,0,0,3,0
0,0,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,1,0,3,1,0,2,1,3,0
0,1,2,0,1,0,0,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,1,0,0,5,0,0,0,0,7,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,2,8,7,1,2,1,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1
7,7,0,0,6,5,1,5,2,2,2,1,1,1,0,1,0,2,0,0,0,1,1,1,0,0,1,0,0,0,0,2,1,4,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,2,2,0,0,0,0,3,1,2,6,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,1,1,1,0,1,1,0,0,1,0,0,0,2,0,1,1,3,1,0,1,0,0,0,0,0,0,1,1,2,0,0,6,0,0,1,0,5,0,0,0,1,1
28,19,3,2,35,28,14,12,17,20,11,24,2,2,2,1,10,16,7,11,2,11,32,32,7,13,11,17,31,40,37,3,26,8,13,10,5,10,14,1,3,8,0,0,1,0,0,0,0,0,92,72,54,0,55,1,2,23,22,47,54,3,35,40,29,3,0,0,3,0,0,0,0,2,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,7,1,5,1,1,1,3,0,0,1,0,0,1,0,0,0,0,1,2,1,2,0,0,0,1,4,2,3
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,2,0,1,1,0,0,0,0,9,13,2,0,2,1,7,3,6,10,21,13,8,17,18,0,0,0,2,0,2,4,0,0,0,0,2,1,0,0,0,2,1,3,0,0,3,2,3,0,5,6,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,2,5,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,2,0,0,0,0,0,1,0,2,0,2,1,2,1,0,3,0,0,1,0
0,0,24,19,0,7,12,22,5,0,0,1,3,16,9,18,4,9,16,2,7,2,0,5,47,36,19,9,2,18,15,19,12,8,10,36,41,26,1,28,15,23,7,9,28,27,34,32,24,10,26,64,44,34,8,79,31,42,12,1,0,18,0,2,0,22,24,37,37,27,22,41,21,15,32,42,20,7,27,19,11
4,5,5,2,7,24,17,12,5,9,16,8,7,13,10,4,3,5,3,6,8,9,9,12,4,9,2,4,11,7,5,8,7,5,18,7,6,5,2,5,1,2,0,1,0,0,1,1,0,0,7,2,1,4,10,10,2,10,6,12,12,8,8,17,19,5,3,5,4,4,4,4,4,1,5,6,2,4,4,3,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,5,1,9,6,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,4,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,4,1,1,1,1,1,2,8,14,10,16,0,4,32,5,7,3,0,5,28,28,15,18,15,28,41,10,1,0,17,32,26,11,0,7,3,4,3,7,3,9,7,13,14,24,6,10,7,2,0,2,3,12,3,0,2,17,1,0,0,4,6,4,7,9,5,10,8,29,11,24,34,2,4,3,1
