date,traitement,management,habitat,code,SampleID
15.11.2022,ThermoSeed,conventional,rhizosphere,BF11,Res0sem_03B
23.11.2022,ThermoSeed,organic,rhizosphere,BF10,Res0sem_14B
23.11.2022,NA,organic,soil,BF10,Res0sem_14D
24.11.2022,synthetic,conventional,rhizosphere,BF09,Res0sem_17A
17.11.2022,control,conventional,rhizosphere,BF03,Res0sem_08C
23.11.2022,synthetic,conventional,rhizosphere,BT16,Res0sem_16A
23.11.2022,NA,conventional,soil,BT07,Res0sem_13D
15.11.2022,control,conventional,rhizosphere,BT11,Res0sem_04C
15.11.2022,NA,conventional,soil,BF04,Res0sem_02D
02.12.2022,ThermoSeed,conventional,rhizosphere,BF08,Res0sem_21B
17.11.2022,NA,conventional,soil,BF02,Res0sem_07D
17.11.2022,synthetic,conventional,rhizosphere,BT06,Res0sem_11A
23.11.2022,synthetic,conventional,rhizosphere,BT17,Res0sem_15A
24.11.2022,NA,conventional,soil,BF09,Res0sem_17D
